county,pop
13291,22033
13293,26394
13295,68143
13297,87436
13299,35671
13301,5504
13303,20680
13305,30006
13307,2672
13309,7932
13311,28140
13313,103653
13315,8884
13317,9924
13319,9312
13321,20988
15001,193680
15003,986999
15005,91
15007,70447
15009,162456
16001,425798
16003,3865
16005,83815
16007,5928
16009,9068
16011,45261
16013,21427
16015,6891
16017,41389
16019,108989
16021,11141
16023,2592
16025,968
16027,202782
16029,6813
16031,23441
16033,960
16035,8528
16037,4185
16039,26103
16041,13013
16043,12896
16045,16853
16047,15157
16049,16251
16051,27096
16053,22694
16055,147716
16057,38593
16059,7743
16061,3826
16063,5292
16065,38114
16067,20331
16069,39995
16071,4269
16073,11356
16075,22773
16077,7696
16079,12551
16081,10437
16083,80955
16085,9897
16087,10035
17001,66949
17003,7051
17005,17137
17007,53656
17009,6836
17011,33822
17013,4962
17015,14793
17017,13068
17019,206420
17021,33888
17023,16089
17025,13466
17027,37858
17029,52802
17031,5227575
17033,19441
17035,10890
17037,104458
17039,16322
17041,19770
17043,930514
17045,17828
17047,6612
17049,34356
17051,22025
17053,13758
17055,39503
17057,36047
17059,5325
17061,13390
17063,50338
17065,8251
17067,18633
17069,4173
17071,6966
17073,49681
17075,28814
17077,59188
17079,9592
17081,38523
17083,22441
17085,22186
17087,12866
17089,526615
17091,111493
17093,121452
17095,51752
17097,702890
17099,111935
17101,16582
17103,34718
17105,37278
17107,29820
17109,31727
17111,307083
17113,173254
17115,108404
17117,46482
17119,266759
17121,38503
17123,12060
17125,13931
17127,14883
17129,12576
17131,15971
17133,33703
17135,29301
17137,34801
17139,14915
17141,52034
17143,186818
17145,21595
17147,16469
17149,16054
17151,4255
17153,5792
17155,5746
17157,32934
17159,16072
17161,146536
17163,265569
17165,24659
17167,198639
17169,7205
17171,5169
17173,22011
17175,5840
17177,46283
17179,135400
17181,17458
17183,79613
17185,11587
17187,17611
17189,14369
17191,16517
17193,14410
17195,57155
17197,685378
17199,67336
17201,288896
17203,39123
18001,34813
18003,365565
18005,80203
18007,8709
18009,12364
18011,61884
18013,14965
18015,20007
18017,38324
18019,113993
18021,26568
18023,32692
18025,10582
18027,32583
18029,49552
18031,26340
18033,42489
18035,116463
18037,42345
18039,201640
18041,23608
18043,76290
18045,16741
18047,22887
18049,20412
18051,33684
18053,68269
18055,32633
18057,303042
18059,71955
18061,39370
18063,155817
18065,48953
18067,82728
18069,36696
18071,43637
18073,33461
18075,21196
18077,32482
18079,28023
18081,147567
18083,37956
18085,78461
18087,38395
18089,489698
18091,110993
18093,45696
18095,129862
18097,932142
18099,46833
18101,10218
18103,36093
18105,143292
18107,38108
18109,69504
18111,14022
18113,47587
18115,6003
18117,19579
18119,21038
18121,17033
18123,19301
18125,12554
18127,167016
18129,25527
18131,12910
18133,37626
18135,25403
18137,28633
18139,16873
18141,267696
18143,23734
18145,44404
18147,20777
18149,23069
18151,34279
18153,21026
18155,10484
18157,183397
18159,15447
18161,7251
18163,181692
18165,15752
18167,108099
18169,32177
18171,8309
18173,61427
18175,27792
18177,67423
18179,27836
18181,24265
18183,33354
19001,7330
19003,3822
19005,14001
19007,12602
19009,5793
19011,25720
19013,132821
19015,26411
19017,24663
19019,21031
19021,20445
19023,14933
19025,9876
19027,20555
19029,13433
19031,18389
19033,43303
19035,11752
19037,12164
19039,9273
19041,16478
19043,17735
19045,47972
19047,17147
19049,78074
19051,8768
19053,8210
19055,17445
19057,40114
19059,17046
19061,96359
19063,9820
19065,20391
19067,16004
19069,10393
19071,7019
19073,9083
19075,12373
19077,10691
19079,15227
19081,11006
19083,17324
19085,14335
19087,19941
19089,9430
19091,9607
19093,7041
19095,16326
19097,19529
19099,36715
19101,17662
19103,142006
19105,20481
19107,10234
19109,15226
19111,35172
19113,218076
19115,11251
19117,8700
19119,11730
19121,15661
19123,22324
19125,33197
19127,40735
19129,14841
19131,10757
19133,9013
19135,7964
19137,10380
19139,42949
19141,14055
19143,6154
19145,15552
19147,9155
19149,24972
19151,7061
19153,459159
19155,93198
19157,18622
19159,5054
19161,10034
19163,171116
19165,11944
19167,34621
19169,94834
19171,17423
19173,6209
19175,12539
19177,7380
19179,35242
19181,48170
19183,22115
19185,6403
19187,37050
